,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,shampoo,hot water,washing machine,hangers,bed linen,security,work,wi-fi,kitchen,refrigerator,dishwasher,family,attractions nearby,outdoor,parkering and faciliteter,pool etc.,host,other,cleaning products,temperature,blackout curtains,entertainment,mailbox,view,fireplace,fitness equipment,smoking allowed,Sights,Safety,Shopping,Location,Climate,Affordability
40,Stockholm,2024-05-17,1,287.0,4.62,13,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
41,Stockholm,2024-05-17,1,631.0,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
42,Stockholm,2024-05-17,1,344.0,5.0,5,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
43,Stockholm,2024-05-17,1,306.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
44,Stockholm,2024-05-17,1,594.0,4.83,6,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
45,Stockholm,2024-05-17,1,327.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
46,Stockholm,2024-05-17,1,487.0,4.75,4,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
47,Stockholm,2024-05-17,1,272.0,4.87,39,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
48,Stockholm,2024-05-17,1,606.0,4.71,56,2.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
49,Stockholm,2024-05-17,1,1113.0,5.0,4,4.0,4.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
50,Stockholm,2024-05-17,1,312.0,4.83,12,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
51,Stockholm,2024-05-17,1,685.0,5.0,3,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
52,Stockholm,2024-05-17,1,766.0,,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
53,Stockholm,2024-05-17,1,288.0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
54,Stockholm,2024-05-17,1,668.0,4.89,9,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
55,Stockholm,2024-05-17,1,402.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
56,Stockholm,2024-05-17,1,556.0,4.67,6,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
57,Stockholm,2024-05-17,1,818.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
58,Stockholm,2024-05-17,1,667.0,,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
59,Stockholm,2024-05-17,1,702.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
60,Stockholm,2024-05-17,1,381.0,5.0,8,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
61,Stockholm,2024-05-17,1,1038.0,4.95,22,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
62,Stockholm,2024-05-17,1,544.0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
63,Stockholm,2024-05-17,1,905.0,4.82,11,4.0,3.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
64,Stockholm,2024-05-17,1,408.0,2.75,4,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
65,Stockholm,2024-05-17,1,481.0,4.17,6,2.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
66,Stockholm,2024-05-17,1,817.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
67,Stockholm,2024-05-17,1,561.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
68,Stockholm,2024-05-17,1,445.0,4.63,16,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
69,Stockholm,2024-05-17,1,480.0,4.81,52,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
70,Stockholm,2024-05-17,1,341.0,4.80,5,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
71,Stockholm,2024-05-17,1,1206.0,4.86,14,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
72,Stockholm,2024-05-17,1,297.0,5.0,23,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
73,Stockholm,2024-05-17,1,408.0,4.54,26,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
74,Stockholm,2024-05-17,1,515.0,,,,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
75,Stockholm,2024-05-17,1,693.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
76,Stockholm,2024-05-17,1,334.0,4.77,43,,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
77,Stockholm,2024-05-17,1,485.0,4.50,4,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
78,Stockholm,2024-05-17,1,422.0,5.0,18,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
79,Stockholm,2024-05-17,1,1210.0,4.96,152,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
80,Stockholm,2024-05-17,1,360.0,,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
81,Stockholm,2024-05-17,1,863.0,,,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
82,Stockholm,2024-05-17,1,1418.0,,,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
83,Stockholm,2024-05-17,1,272.0,4.95,20,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
84,Stockholm,2024-05-17,1,816.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
85,Stockholm,2024-05-17,1,730.0,4.63,30,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
86,Stockholm,2024-05-17,1,720.0,5.0,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
87,Stockholm,2024-05-17,1,422.0,4.91,23,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
88,Stockholm,2024-05-17,1,631.0,4.80,5,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
89,Stockholm,2024-05-17,1,911.0,4.25,4,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
90,Stockholm,2024-05-17,1,390.0,4.88,65,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
91,Stockholm,2024-05-17,1,569.0,5.0,6,2.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
92,Stockholm,2024-05-17,1,1264.0,3.91,34,3.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
93,Stockholm,2024-05-17,1,296.0,5.0,4,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
94,Stockholm,2024-05-17,1,420.0,4.52,25,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
95,Stockholm,2024-05-17,1,532.0,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
96,Stockholm,2024-05-17,1,801.0,4.33,12,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
97,Stockholm,2024-05-17,1,326.0,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
98,Stockholm,2024-05-17,1,514.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
99,Stockholm,2024-05-17,1,706.0,4.60,15,2.0,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
100,Stockholm,2024-05-17,1,594.0,4.91,22,2.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
101,Stockholm,2024-05-17,1,272.0,5.0,7,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
102,Stockholm,2024-05-17,1,543.0,5.0,4,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
