,city,date,treat,price,rating,omtaler,gæster,soveværelser,view,bathroom,hair dryer,other,cleaning products,shampoo,hot water,hangers,blackout curtains,entertainment,work,family,kitchen,refrigerator,attractions nearby,parkering and faciliteter,host,mailbox,washing machine,security,wi-fi,bed linen,outdoor,dishwasher,smoking allowed,temperature,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
32,Berlin,2024-05-09,0,462,4.73,190,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
33,Berlin,2024-05-09,0,261,3.20,10,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
34,Berlin,2024-05-09,0,290,4.83,620,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
35,Berlin,2024-05-09,0,439,4.91,242,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,8.15,7.0,6.75,6.5,5.5,3.75
36,Berlin,2024-05-09,0,351,4.98,213,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
37,Berlin,2024-05-09,0,509,4.27,11,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
38,Berlin,2024-05-09,0,395,4.83,243,2.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
39,Berlin,2024-05-09,0,354,4.57,23,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
40,Berlin,2024-05-09,0,518,4.80,50,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
41,Berlin,2024-05-09,0,442,4.84,122,2.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
42,Berlin,2024-05-09,0,526,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
43,Berlin,2024-05-09,0,421,4.79,131,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
44,Berlin,2024-05-09,0,485,4.98,53,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
45,Berlin,2024-05-09,0,421,4.88,144,,3.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
46,Berlin,2024-05-09,0,275,4.49,249,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,8.15,7.0,6.75,6.5,5.5,3.75
47,Berlin,2024-05-09,0,518,4.87,15,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,8.15,7.0,6.75,6.5,5.5,3.75
48,Berlin,2024-05-09,0,483,4.85,53,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,8.15,7.0,6.75,6.5,5.5,3.75
49,Berlin,2024-05-09,0,310,4.97,34,,2.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
50,Berlin,2024-05-09,0,380,4.48,170,,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,8.15,7.0,6.75,6.5,5.5,3.75
