,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,washing machine,hangers,work,wi-fi,kitchen,gæster,bed linen,security,refrigerator,outdoor,parkering and faciliteter,host,mailbox,entertainment,temperature,other,cleaning products,family,dishwasher,attractions nearby,view,smoking allowed,blackout curtains,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
60,Krakow,2024-08-01,0,147.0,3.50,4,,5.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
61,Krakow,2024-08-01,0,341.0,,,4.0,4.0,,,,,,1.0,1.0,1.0,4.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
62,Krakow,2024-08-01,0,197.0,5.0,13,4.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
63,Krakow,2024-08-01,0,284.0,4.71,95,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
64,Krakow,2024-08-01,0,385.0,4.57,277,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
65,Krakow,2024-08-01,0,351.0,4.76,58,7.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,7.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
66,Krakow,2024-08-01,0,300.0,4.77,121,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
67,Krakow,2024-08-01,0,312.0,4.72,96,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
68,Krakow,2024-08-01,0,324.0,5.0,9,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
69,Krakow,2024-08-01,0,347.0,4.82,247,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
70,Krakow,2024-08-01,0,352.0,4.87,569,6.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
71,Krakow,2024-08-01,0,375.0,4.87,259,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
72,Krakow,2024-08-01,0,369.0,4.86,14,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,7.7,6.75,6.0,6.25,5.0,5.25
73,Krakow,2024-08-01,0,368.0,4.73,12,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
74,Krakow,2024-08-01,0,362.0,4.71,189,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
75,Krakow,2024-08-01,0,376.0,4.89,9,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
76,Krakow,2024-08-01,0,343.0,5.0,13,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
77,Krakow,2024-08-01,0,314.0,4.86,107,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
78,Krakow,2024-08-01,0,353.0,4.95,21,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
79,Krakow,2024-08-01,0,349.0,4.25,228,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
80,Krakow,2024-08-01,0,349.0,4.92,307,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,7.7,6.75,6.0,6.25,5.0,5.25
81,Krakow,2024-08-01,0,345.0,4.82,140,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
82,Krakow,2024-08-01,0,333.0,4.78,9,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
83,Krakow,2024-08-01,0,354.0,4.96,128,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
84,Krakow,2024-08-01,0,321.0,5.0,18,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
85,Krakow,2024-08-01,0,363.0,4.68,476,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
86,Krakow,2024-08-01,0,379.0,4.84,279,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
87,Krakow,2024-08-01,0,344.0,4.74,160,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
88,Krakow,2024-08-01,0,367.0,4.64,194,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
89,Krakow,2024-08-01,0,353.0,4.50,56,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
90,Krakow,2024-08-01,0,374.0,4.72,156,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
