,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
37,Madrid,2024-05-29,1,202.0,4.33,18,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
38,Madrid,2024-05-29,1,184.0,4.45,62,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
39,Madrid,2024-05-29,1,176.0,4.75,24,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,7.5,7.0,7.5,5.25,8.75,3.75
40,Madrid,2024-05-29,1,176.0,4.35,134,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
41,Madrid,2024-05-29,1,193.0,4.81,37,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
42,Madrid,2024-05-29,1,202.0,4.79,130,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
43,Madrid,2024-05-29,1,176.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,7.5,7.0,7.5,5.25,8.75,3.75
44,Madrid,2024-05-29,1,193.0,4.59,76,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
45,Madrid,2024-05-29,1,184.0,4.93,15,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
46,Madrid,2024-05-29,1,230.0,4.42,12,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
47,Madrid,2024-05-29,1,158.0,4.50,20,,4.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
48,Madrid,2024-05-29,1,202.0,4.75,191,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
49,Madrid,2024-05-29,1,189.0,4.92,12,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
50,Madrid,2024-05-29,1,202.0,5.0,18,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
51,Madrid,2024-05-29,1,149.0,5.0,3,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,7.5,7.0,7.5,5.25,8.75,3.75
52,Madrid,2024-05-29,1,193.0,4.89,53,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,7.5,7.0,7.5,5.25,8.75,3.75
53,Madrid,2024-05-29,1,184.0,4.69,13,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
54,Madrid,2024-05-29,1,193.0,4.85,13,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
55,Madrid,2024-05-29,1,180.0,,,,4.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
56,Madrid,2024-05-29,1,193.0,4.50,64,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
