,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,hangers,bed linen,entertainment,work,family,wi-fi,parkering and faciliteter,other,cleaning products,washing machine,temperature,kitchen,gæster,security,blackout curtains,refrigerator,dishwasher,outdoor,attractions nearby,view,smoking allowed,host,mailbox,fireplace,pool etc.,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
42,Bologna,2024-06-02,0,307,4.67,3,,16.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
43,Bologna,2024-06-02,0,175,4.25,4,,4.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
44,Bologna,2024-06-02,0,289,,,,7.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
45,Bologna,2024-06-02,0,298,,,,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
46,Bologna,2024-06-02,0,263,,,,3.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
47,Bologna,2024-06-02,0,280,,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
48,Bologna,2024-06-02,0,307,4.80,5,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
49,Bologna,2024-06-02,0,298,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
50,Bologna,2024-06-02,0,298,,,,2.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
51,Bologna,2024-06-02,0,336,,,,12.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
52,Bologna,2024-06-02,0,307,5.0,3,4.0,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,4.0,1.0,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
53,Bologna,2024-06-02,0,307,4.62,29,8.0,8.0,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,8.0,1.0,,,,1.0,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
54,Bologna,2024-06-02,0,219,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
55,Bologna,2024-06-02,0,304,,,,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
56,Bologna,2024-06-02,0,254,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
57,Bologna,2024-06-02,0,307,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
58,Bologna,2024-06-02,0,263,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
59,Bologna,2024-06-02,0,385,4.76,663,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
60,Bologna,2024-06-02,0,461,4.80,50,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
61,Bologna,2024-06-02,0,387,4.94,188,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
62,Bologna,2024-06-02,0,439,4.95,40,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
63,Bologna,2024-06-02,0,369,4.61,163,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
64,Bologna,2024-06-02,0,351,4.95,19,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
65,Bologna,2024-06-02,0,369,4.91,87,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
66,Bologna,2024-06-02,0,478,4.90,253,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
67,Bologna,2024-06-02,0,461,5.0,6,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
68,Bologna,2024-06-02,0,421,5.0,8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
69,Bologna,2024-06-02,0,394,5.0,196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
70,Bologna,2024-06-02,0,414,4.91,22,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
71,Bologna,2024-06-02,0,478,4.80,35,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
72,Bologna,2024-06-02,0,439,4.51,71,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
73,Bologna,2024-06-02,0,369,4.78,9,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
74,Bologna,2024-06-02,0,465,4.98,60,,2.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
75,Bologna,2024-06-02,0,442,5.0,10,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
76,Bologna,2024-06-02,0,424,5.0,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
77,Bologna,2024-06-02,0,447,4.89,118,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
78,Bologna,2024-06-02,0,455,4.80,297,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
79,Bologna,2024-06-02,0,451,5.0,4,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
80,Bologna,2024-06-02,0,461,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
81,Bologna,2024-06-02,0,342,4.96,196,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
82,Bologna,2024-06-02,0,461,4.75,4,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
83,Bologna,2024-06-02,0,394,4.92,212,5.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,1.0,,,1.0,1.0,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
84,Bologna,2024-06-02,0,394,4.85,20,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
85,Bologna,2024-06-02,0,458,4.33,15,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
86,Bologna,2024-06-02,0,461,4.88,58,,2.0,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
87,Bologna,2024-06-02,0,455,4.94,17,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
88,Bologna,2024-06-02,0,494,4.90,12,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
89,Bologna,2024-06-02,0,350,4.79,317,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
90,Bologna,2024-06-02,0,414,5.0,6,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
