,city,date,treat,price,rating,omtaler,gæster,soveværelser,hot water,hangers,bed linen,security,work,wi-fi,kitchen,parkering and faciliteter,hair dryer,other,cleaning products,shampoo,blackout curtains,entertainment,temperature,refrigerator,outdoor,gæster,attractions nearby,family,dishwasher,washing machine,view,smoking allowed,host,mailbox,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
57,Lyon,2024-06-02,1,269,4.62,13,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
58,Lyon,2024-06-02,1,404,4.60,5,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
59,Lyon,2024-06-02,1,494,4.50,12,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,4.0,,,,1.0,1.0,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
60,Lyon,2024-06-02,1,360,4.89,47,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
61,Lyon,2024-06-02,1,360,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
62,Lyon,2024-06-02,1,404,4.71,17,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
63,Lyon,2024-06-02,1,411,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
64,Lyon,2024-06-02,1,400,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
65,Lyon,2024-06-02,1,359,5.0,7,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
66,Lyon,2024-06-02,1,402,4.94,67,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
67,Lyon,2024-06-02,1,494,4.74,27,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
68,Lyon,2024-06-02,1,125,4.86,7,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
69,Lyon,2024-06-02,1,351,4.25,4,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
70,Lyon,2024-06-02,1,445,4.55,44,,1.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
71,Lyon,2024-06-02,1,488,4.96,26,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
72,Lyon,2024-06-02,1,407,4.93,59,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
73,Lyon,2024-06-02,1,421,4.93,30,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
74,Lyon,2024-06-02,1,432,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
