,city,date,treat,price,rating,omtaler,gæster,hårtørrer,shampoo,sengetøj,underholdning,familie,køleskab,opvaskemasine,ting i nærheden,røgalarm,tv,vaskemaskine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
138,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
139,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
140,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
141,Bologna,2024-06-02,0,283.0,,,,1.0,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
142,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
143,Bologna,2024-06-02,0,373.0,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
144,Bologna,2024-06-02,0,335.0,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
145,Bologna,2024-06-02,0,373.0,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
146,Bologna,2024-06-02,0,373.0,,,,1.0,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
147,Bologna,2024-06-02,0,,,,,,1.0,,,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
148,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
149,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
150,Bologna,2024-06-02,0,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
151,Bologna,2024-06-02,0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
152,Bologna,2024-06-02,0,410.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
153,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
154,Bologna,2024-06-02,0,335.0,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
155,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
156,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
157,Bologna,2024-06-02,0,328.0,,,,1.0,1.0,1.0,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
158,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
159,Bologna,2024-06-02,0,380.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
160,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
161,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
162,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
163,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
164,Bologna,2024-06-02,0,335.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
165,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
166,Bologna,2024-06-02,0,,,,,1.0,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
167,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
168,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
169,Bologna,2024-06-02,0,283.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
170,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
171,Bologna,2024-06-02,0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
172,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
173,Bologna,2024-06-02,0,261.0,,,,,,1.0,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
174,Bologna,2024-06-02,0,298.0,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
175,Bologna,2024-06-02,0,395.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
176,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
177,Bologna,2024-06-02,0,,,,,,,,,,1.0,1.0,,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
178,Bologna,2024-06-02,0,335.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
179,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
180,Bologna,2024-06-02,0,283.0,,,,1.0,,1.0,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
181,Bologna,2024-06-02,0,373.0,,,,1.0,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
182,Bologna,2024-06-02,0,253.0,,,,1.0,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
183,Bologna,2024-06-02,0,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
184,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
185,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
186,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
187,Bologna,2024-06-02,0,298.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
188,Bologna,2024-06-02,0,,,,,,,1.0,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
189,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
190,Bologna,2024-06-02,0,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
