,city,date,treat,price,rating,omtaler,hårtørrer,køleskab,ting i nærheden,sengetøj,underholdning,familie,røgalarm,opvaskemasine,shampoo,kaffe,vaskemaskine,tv,gæster,Sights,Safety,Shopping,Location,Climate,Affordability
64,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
65,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
66,Lisbon,2024-05-24,1,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
67,Lisbon,2024-05-24,1,,,,,,,,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
68,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
69,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
70,Lisbon,2024-05-24,1,291.0,,,,,,,1.0,,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
71,Lisbon,2024-05-24,1,,,,1.0,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
72,Lisbon,2024-05-24,1,224.0,,,,,,,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
73,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
74,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
75,Lisbon,2024-05-24,1,261.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
76,Lisbon,2024-05-24,1,,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
77,Lisbon,2024-05-24,1,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
78,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
79,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
80,Lisbon,2024-05-24,1,335.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
81,Lisbon,2024-05-24,1,298.0,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
82,Lisbon,2024-05-24,1,201.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
83,Lisbon,2024-05-24,1,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
84,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
85,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
86,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
87,Lisbon,2024-05-24,1,224.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
88,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
89,Lisbon,2024-05-24,1,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
90,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
91,Lisbon,2024-05-24,1,,,,,,1.0,1.0,,1.0,,1.0,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
92,Lisbon,2024-05-24,1,209.0,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
93,Lisbon,2024-05-24,1,373.0,,,,,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
94,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
95,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
96,Lisbon,2024-05-24,1,,,,,,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
97,Lisbon,2024-05-24,1,447.0,,,,1.0,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
98,Lisbon,2024-05-24,1,261.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
99,Lisbon,2024-05-24,1,,,,,,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
100,Lisbon,2024-05-24,1,313.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
101,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
102,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
103,Lisbon,2024-05-24,1,,,,,,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
104,Lisbon,2024-05-24,1,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
105,Lisbon,2024-05-24,1,261.0,,,,,,,1.0,,1.0,,1.0,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
106,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
107,Lisbon,2024-05-24,1,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
