,city,date,treat,price,rating,omtaler,gæster,familie,røgalarm,køleskab,ting i nærheden,hårtørrer,vaskemaskine,underholdning,tv,opvaskemasine,sengetøj,shampoo,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
92,Stockholm,2024-05-17,1,589.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
93,Stockholm,2024-05-17,1,307.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
94,Stockholm,2024-05-17,1,362.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
95,Stockholm,2024-05-17,1,632.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
96,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
97,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
98,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
99,Stockholm,2024-05-17,1,286.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
100,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
101,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
102,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
103,Stockholm,2024-05-17,1,318.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
104,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
105,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
106,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
107,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
108,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
109,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
110,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
111,Stockholm,2024-05-17,1,407.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
112,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
113,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
114,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
115,Stockholm,2024-05-17,1,362.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
116,Stockholm,2024-05-17,1,305.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
117,Stockholm,2024-05-17,1,191.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
118,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
119,Stockholm,2024-05-17,1,440.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
120,Stockholm,2024-05-17,1,349.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
121,Stockholm,2024-05-17,1,315.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
122,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
123,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
124,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
125,Stockholm,2024-05-17,1,288.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
126,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
127,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
128,Stockholm,2024-05-17,1,381.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
129,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
